Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.242175,-0.271267,3.3618,-0.322362,0.135978,3.41081,-0.395715,0.132273,3.42461,-0.481416,-0.751048,3.46649,-0.520365,-0.65247,3.5328,-0.523031,-0.242221,3.40577,-0.444522,0.123942,3.33957,-0.127075,-0.753418,3.11719,-0.127075,-0.753418,3.11719
-0.173794,-0.689741,3.25502,-0.230208,-0.325199,3.3332,-0.310823,0.134806,3.39404,-0.382149,0.130884,3.4066,-0.481976,-0.750005,3.4659,-0.519665,-0.654503,3.53131,-0.515876,-0.243571,3.39558,-0.429827,0.117882,3.31996,-0.429827,0.117882,3.31996
-0.121913,-0.749522,3.08602,-0.147731,-0.676544,3.1974,-0.222561,-0.292553,3.30459,-0.292908,0.128469,3.37056,-0.365724,0.124639,3.38516,-0.48233,-0.749285,3.46517,-0.517637,-0.656556,3.52948,-0.503646,-0.249706,3.37852,-0.503646,-0.249706,3.37852
-0.41991,0.113905,3.29748,-0.117234,-0.759416,3.05467,-0.153531,-0.680335,3.18988,-0.207712,-0.318841,3.27277,-0.28498,0.121706,3.34031,-0.356593,0.119294,3.35891,-0.482179,-0.749303,3.46546,-0.512704,-0.657548,3.52636,-0.512704,-0.657548,3.52636
-0.495679,-0.255691,3.36406,-0.408629,0.108747,3.27827,-0.121293,-0.758674,3.04838,-0.15815,-0.683696,3.18732,-0.202995,-0.320752,3.25218,-0.27263,0.116778,3.32262,-0.344658,0.114131,3.34026,-0.48124,-0.74831,3.46421,-0.48124,-0.74831,3.46421
-0.509009,-0.654697,3.52303,-0.48746,-0.259154,3.35226,-0.393619,0.102352,3.24836,-0.127018,-0.757121,3.04438,-0.162047,-0.677845,3.18107,-0.189296,-0.31265,3.22219,-0.259601,0.111771,3.29664,-0.330584,0.108387,3.31236,-0.330584,0.108387,3.31236
-0.480356,-0.747637,3.46229,-0.503902,-0.65689,3.5183,-0.464469,-0.275307,3.33088,-0.378339,0.0992888,3.21576,-0.12582,-0.761808,3.03717,-0.159981,-0.67701,3.16951,-0.177478,-0.301249,3.20407,-0.242181,0.108317,3.26533,-0.242181,0.108317,3.26533
-0.314047,0.105079,3.28033,-0.47914,-0.745939,3.45986,-0.498265,-0.654594,3.5155,-0.452144,-0.280761,3.31752,-0.363226,0.0980457,3.19461,-0.125236,-0.765558,3.0348,-0.156527,-0.676875,3.16457,-0.168618,-0.290123,3.189,-0.168618,-0.290123,3.189
-0.222108,0.108737,3.23257,-0.296382,0.104587,3.25375,-0.475764,-0.748928,3.45122,-0.49177,-0.656632,3.50385,-0.43711,-0.286415,3.29094,-0.34586,0.101745,3.1646,-0.123108,-0.769699,3.03153,-0.151579,-0.677559,3.1586,-0.151579,-0.677559,3.1586
-0.157545,-0.292849,3.16859,-0.206324,0.112961,3.207,-0.279414,0.108728,3.22549,-0.471717,-0.751148,3.44276,-0.489118,-0.658998,3.49476,-0.419247,-0.286943,3.25464,-0.33654,0.104518,3.14199,-0.122727,-0.774058,3.02999,-0.122727,-0.774058,3.02999
-0.149192,-0.679862,3.15515,-0.147459,-0.292598,3.15681,-0.193736,0.114801,3.17887,-0.26855,0.111073,3.20042,-0.454434,-0.747478,3.39699,-0.471482,-0.656325,3.45479,-0.396828,-0.275947,3.21171,-0.319396,0.103158,3.10898,-0.319396,0.103158,3.10898
-0.123413,-0.776087,3.03023,-0.146972,-0.678172,3.1517,-0.134037,-0.257209,3.12889,-0.173674,0.114183,3.14396,-0.249624,0.110048,3.1662,-0.444092,-0.74707,3.33984,-0.454025,-0.650877,3.40968,-0.3903,-0.269256,3.18524,-0.3903,-0.269256,3.18524
-0.306706,0.107571,3.08122,-0.124319,-0.778438,3.03071,-0.145762,-0.677707,3.14936,-0.128625,-0.28097,3.12406,-0.159693,0.116716,3.11558,-0.23623,0.113579,3.13831,-0.420898,-0.759277,3.27344,-0.434601,-0.663261,3.35433,-0.434601,-0.663261,3.35433
-0.384228,-0.270502,3.16102,-0.301588,0.108371,3.06792,-0.12481,-0.780662,3.03543,-0.143907,-0.675956,3.14673,-0.126026,-0.280648,3.11858,-0.152615,0.116024,3.09653,-0.230074,0.113713,3.1222,-0.402588,-0.762695,3.21484,-0.402588,-0.762695,3.21484
-0.410991,-0.658968,3.28793,-0.36567,-0.255944,3.10609,-0.294562,0.111845,3.0439,-0.124939,-0.780347,3.03807,-0.141279,-0.679557,3.14298,-0.118875,-0.270692,3.10008,-0.145852,0.11472,3.06973,-0.22308,0.114832,3.09673,-0.22308,0.114832,3.09673
-0.383789,-0.766113,3.14258,-0.399711,-0.678866,3.22536,-0.359129,-0.261108,3.08015,-0.286613,0.113589,3.02368,-0.125616,-0.780335,3.03917,-0.140097,-0.680229,3.14094,-0.114475,-0.273607,3.09285,-0.136892,0.112929,3.0486,-0.136892,0.112929,3.0486
-0.214543,0.114794,3.07603,-0.361572,-0.777832,3.05273,-0.377337,-0.675104,3.14917,-0.341735,-0.264497,3.02992,-0.283052,0.117781,3.00718,-0.125897,-0.780113,3.03934,-0.139884,-0.680767,3.13978,-0.110528,-0.278619,3.07859,-0.110528,-0.278619,3.07859
-0.133822,0.111883,3.03172,-0.211221,0.116346,3.05947,-0.339111,-0.785156,2.96289,-0.355938,-0.687159,3.07293,-0.337306,-0.273981,3.00827,-0.2759,0.119799,2.98699,-0.126112,-0.779755,3.04006,-0.138948,-0.679829,3.13749,-0.138948,-0.679829,3.13749
-0.103015,-0.281321,3.06435,-0.125096,0.110754,3.00807,-0.203165,0.116874,3.03739,-0.321289,-0.794434,2.88086,-0.336509,-0.694281,2.99866,-0.326958,-0.290436,2.9615,-0.269061,0.119507,2.96918,-0.126462,-0.779564,3.04035,-0.126462,-0.779564,3.04035
-0.138789,-0.680387,3.13556,-0.0987748,-0.28236,3.05508,-0.117393,0.107798,2.9891,-0.195823,0.115225,3.01902,-0.304901,-0.787014,2.7964,-0.325967,-0.69843,2.93024,-0.315762,-0.283783,2.92575,-0.257745,0.118148,2.94246,-0.257745,0.118148,2.94246
-0.12665,-0.779482,3.04026,-0.137748,-0.680572,3.13269,-0.0939883,-0.284979,3.04506,-0.10676,0.105174,2.96797,-0.184696,0.113143,2.99515,-0.292122,-0.775397,2.73455,-0.307245,-0.693652,2.87554,-0.302755,-0.304992,2.88139,-0.302755,-0.304992,2.88139
